Item Code,Lot Number,Unit Weight,Complexity Code,Product Group,Stock Value,Product Category Description,IMAGE
512311FPXRAA00,L084,723,High,Group A,14513,Category 84,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2311FPX.jpg
510578VPAS2A00,L085,724,High,Group A,14514,Category 85,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0578VPA.jpg
513017VBIR2B00,L086,725,High,Group A,14515,Category 86,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3017VBI.jpg
50D2PTPXNAAA09,L087,726,High,Group A,14516,Category 87,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2PTPXN.jpg
501718HHTAAA02,L088,727,High,Group A,14517,Category 88,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1718HHT.jpg
502213HJNAAA09,L089,728,High,Group A,14518,Category 89,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2213HJN.jpg
513515VHDT1A00,L090,729,High,Group A,14519,Category 90,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3515VHD.jpg
5106012MAAAA00,L091,730,High,Group A,14520,Category 91,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=06012MA.jpg
51D2D11ZHABA00,L092,731,High,Group A,14521,Category 92,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2D11ZH.jpg
500895FCALAA00,L093,732,High,Group A,14522,Category 93,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0895FCA.jpg
512218CLDGAA00,L094,733,High,Group A,14523,Category 94,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2218CLD.jpg
51W5B1VHGR4A00,L095,734,High,Group A,14524,Category 95,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W5B1VHG.jpg
511074FAFLAA00,L096,735,High,Group A,14525,Category 96,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1074FAF.jpg
50D3MSYAEEAA32,L097,736,High,Group A,14526,Category 97,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3MSYAE.jpg
500064SYBAGA02,L098,737,High,Group A,14527,Category 98,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0064SYB.jpg
51D3B2VLUR2A00,L099,738,High,Group A,14528,Category 99,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3B2VLU.jpg
501163PWFAAB09,L100,739,High,Group A,14529,Category 100,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1163PWF.jpg
50D4I3DBIABA09,L101,740,High,Group A,14530,Category 101,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4I3DBI.jpg
51D3D1DATABA00,L102,741,High,Group A,14531,Category 102,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3D1DAT.jpg
513220CLRGAA00,L103,742,High,Group A,14532,Category 103,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3220CLR.jpg
50D3PTSNAAGA09,L104,743,High,Group A,14533,Category 104,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3PTSNA.jpg
502118YEOAAB32,L105,744,High,Group A,14534,Category 105,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2118YEO.jpg
50S3BBFAJMAN96,L106,745,High,Group A,14535,Category 106,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=S3BBFAJ.jpg
510630FAAPAA00,L107,746,High,Group A,14536,Category 107,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0630FAA.jpg
501042SAAAGB02,L108,747,High,Group A,14537,Category 108,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1042SAA.jpg
51D3B1SNFABA00,L109,748,High,Group A,14538,Category 109,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3B1SNF.jpg
600113ZEARAS00,L110,749,High,Group A,14539,Category 110,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0113ZEA.jpg
500063ORAABA02,L111,750,High,Group A,14540,Category 111,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0063ORA.jpg
512418CCKIAA00,L112,751,High,Group A,14541,Category 112,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2418CCK.jpg
511107CUBEAA00,L113,752,High,Group A,14542,Category 113,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1107CUB.jpg
515090JDGAGA00,L114,753,High,Group A,14543,Category 114,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=5090JDG.jpg
513515YQCGAA00,L115,754,High,Group A,14544,Category 115,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3515YQC.jpg
50D2PTYCOEAA32,L116,755,High,Group A,14545,Category 116,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2PTYCO.jpg
500324FDANAB02,L117,756,High,Group A,14546,Category 117,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0324FDA.jpg
512217VOGR2A00,L118,757,High,Group A,14547,Category 118,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2217VOG.jpg
513818SFJABA00,L119,758,High,Group A,14548,Category 119,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3818SFJ.jpg
501718FFRMAA09,L120,759,High,Group A,14549,Category 120,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1718FFR.jpg
50D4B32NUABA32,L121,760,High,Group A,14550,Category 121,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4B32NU.jpg
511056FDJNAA00,L122,761,High,Group A,14551,Category 122,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1056FDJ.jpg
511518JCZABA00,L123,762,High,Group A,14552,Category 123,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1518JCZ.jpg
51G4B1FCOTAACZ,L124,763,High,Group A,14553,Category 124,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=G4B1FCO.jpg
51D2A4VCOR1A00,L125,764,High,Group A,14554,Category 125,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2A4VCO.jpg
51D1D1SQKABA00,L126,765,High,Group A,14555,Category 126,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D1D1SQK.jpg
500990CBAGAA00,L127,766,High,Group A,14556,Category 127,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0990CBA.jpg
50D3PTDLVAAA29,L128,767,High,Group A,14557,Category 128,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3PTDLV.jpg
512219VRXR2A00,L129,768,High,Group A,14558,Category 129,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2219VRX.jpg
512216VJRR1A00,L130,769,High,Group A,14559,Category 130,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2216VJR.jpg
50D3PTSTNABA09,L131,770,High,Group A,14560,Category 131,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3PTSTN.jpg
506060FINLAA02,L132,771,High,Group A,14561,Category 132,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=6060FIN.jpg
50D4PLVGAA1A32,L133,772,High,Group A,14562,Category 133,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4PLVGA.jpg
51O4MR2AX1BAP1,L134,773,High,Group A,14563,Category 134,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=O4MR2AX.jpg
50D4I1PBVAAA09,L135,774,High,Group A,14564,Category 135,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4I1PBV.jpg
510751VZAR2A00,L136,775,High,Group A,14565,Category 136,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0751VZA.jpg
51D2D1VEKA1A00,L137,776,High,Group A,14566,Category 137,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2D1VEK.jpg
512714PPHAAA00,L138,777,High,Group A,14567,Category 138,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2714PPH.jpg
502760JEZAGA09,L139,778,High,Group A,14568,Category 139,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2760JEZ.jpg
50D2PTPSPAAA09,L140,779,High,Group A,14569,Category 140,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2PTPSP.jpg
500990CAAFBA00,L141,780,High,Group A,14570,Category 141,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0990CAA.jpg
500318FDALAA12,L142,781,High,Group A,14571,Category 142,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0318FDA.jpg
50D2A2CHPGAA00,L143,782,High,Group A,14572,Category 143,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2A2CHP.jpg
501518FCILAA00,L144,783,High,Group A,14573,Category 144,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1518FCI.jpg
51W5B12KU1BA00,L145,784,High,Group A,14574,Category 145,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W5B12KU.jpg
502999NBNAAA02,L146,785,High,Group A,14575,Category 146,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2999NBN.jpg
513219SQWABA00,L147,786,High,Group A,14576,Category 147,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3219SQW.jpg
50O2JAVEUR2A10,L148,787,High,Group A,14577,Category 148,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=O2JAVEU.jpg
50D3PTYJVIAA29,L149,788,High,Group A,14578,Category 149,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3PTYJV.jpg
51D2A3CJLGAA00,L150,789,High,Group A,14579,Category 150,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2A3CJL.jpg
512411FCETAA00,L151,790,High,Group A,14580,Category 151,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2411FCE.jpg
512018YWNGAB00,L152,791,High,Group A,14581,Category 152,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2018YWN.jpg
502116FAVOAA02,L153,792,High,Group A,14582,Category 153,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2116FAV.jpg
51D4J1FIGLAA40,L154,793,High,Group A,14583,Category 154,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4J1FIG.jpg
51T437FMCMAA00,L155,794,High,Group A,14584,Category 155,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=T437FMC.jpg
51D2D1CHDIAA00,L156,795,High,Group A,14585,Category 156,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2D1CHD.jpg
51D4MICEXGAAP1,L157,796,High,Group A,14586,Category 157,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4MICEX.jpg
512016VUES1000,L158,797,High,Group A,14587,Category 158,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2016VUE.jpg
