Item Code,AG,Unit Weight,Complexity Code,Product Group,Stock Value,Product Category Description,IMAGE
51D3B1VEZR1A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|ROUND|_,19.37,RE,Unified Region Sales40-National Sales230,178097.95,Category 5846,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3B1VEZ.jpg
512515VBDQ2B00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|ROUND|_,27.48,RE,Unified Region Sales61-National Sales188,267579.02,Category 1664,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2515VBD.jpg
51D2BIVIBS2A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|ROUND|_,42.03,RE,Unified Region Sales97-National Sales327,409359.38,Category 4858,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2BIVIB.jpg
51M5PLVJHR1A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|ROUND|_,1,RE,z no,1,Category 24691,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLVJH.jpg
51M5PLVKAR2A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|ROUND|_,1,RE,z no,1,Category 24705,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLVKA.jpg
51M5PLVKCR2A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|ROUND|_,1,RE,z no,1,Category 24707,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLVKC.jpg
51M5PLVJRR2A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|ROUND|_,1,RE,z no,1,Category 24696,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLVJR.jpg
51M5PLVJTR2A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|ROUND|_,1,RE,z no,1,Category 24698,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLVJT.jpg
51D4I1CVBGAA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,4.04,Low,Unified Region Sales35-National Sales104,34707.13,Category 12508,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4I1CVB.jpg
51D4I1CVEGAA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,4.3,Low,Unified Region Sales41-National Sales131,36949.9,Category 12511,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4I1CVE.jpg
51D4I1CVAGAA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,3.8,Low,Unified Region Sales48-National Sales161,32627.63,Category 12506,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4I1CVA.jpg
51D3A1CVTHAA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,12.65,RE,BTQ Sales1-Unified Region Sales413-National Sales1655,110076.35,Category 5603,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3A1CVT.jpg
51M4B1CFYGAA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,13.93,RE,National Sales1,129340.03,Category 23124,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M4B1CFY.jpg
51D4MPCFDGLA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,4.56,RE,Unified Region Sales1-National Sales1,31336,Category 13512,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4MPCFD.jpg
51D4MPCEYGAA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,4.79,RE,Unified Region Sales1-National Sales2,52657.3,Category 13509,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4MPCEY.jpg
504025CIDIAA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,5.28,RE,Unified Region Sales261-National Sales640,41622.58,Category 3184,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=4025CID.jpg
51M4B1CFEGAA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,10.78,RE,Unified Region Sales36-National Sales102,100089.31,Category 23114,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M4B1CFE.jpg
51D4MGCASFAA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,10,RE,z no,68720,Category 13337,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4MGCAS.jpg
51M4C1CCTGLA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,7.41,RE,z no,71353.86,Category 23297,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M4C1CCT.jpg
51M5B1CHXEAA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,1,RE,z no,1,Category 24056,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5B1CHX.jpg
51M5PLCDLFAA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,1,RE,z no,1,Category 24480,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLCDL.jpg
51M5PLCGVGLA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,1,RE,z no,1,Category 24505,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLCGV.jpg
51M5PLCHFHLA00,EVERYDAYS|GOLD PLAIN|CHAIN|A|MODERN|_|_,1,RE,z no,1,Category 24515,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLCHF.jpg
50M3PTDONAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,6.21,RE,National Sales1,49832.43,Category 23000,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M3PTDON.jpg
51D3D1DBBABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,3.42,RE,National Sales13,31037.78,Category 7087,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3D1DBB.jpg
511107DPPADA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,4.36,RE,Unified Region Sales106-National Sales529,40589.56,Category 259,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1107DPP.jpg
51M4I1DLEADA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,4.43,RE,Unified Region Sales16-National Sales86,41004.48,Category 23661,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M4I1DLE.jpg
51D3D1DAWABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,4.33,RE,Unified Region Sales1-National Sales1,38748.58,Category 7084,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3D1DAW.jpg
511518DDTABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,4,RE,Unified Region Sales1-National Sales4,36208,Category 784,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1518DDT.jpg
511166DGWABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,5.4,RE,Unified Region Sales66-National Sales319,50225.4,Category 423,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1166DGW.jpg
51M3PTDEQABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,7.65,RE,z no,71161.95,Category 22991,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M3PTDEQ.jpg
51M5A1DELABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 23924,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5A1DEL.jpg
50M5A1DFUABACZ,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 23930,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5A1DFU.jpg
51M5B1DFGABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 24073,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5B1DFG.jpg
51M5B1DHNABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 24074,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5B1DHN.jpg
51M5HTDBHABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 24192,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5HTDBH.jpg
51M5I1DGDADA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 24223,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5I1DGD.jpg
51M5I1DIHADA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 24232,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5I1DIH.jpg
51M5PLDIFABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 24543,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLDIF.jpg
51M5PLDILABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 24545,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLDIL.jpg
51M5PLDIMABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 24546,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLDIM.jpg
51M5PLDIPABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 24548,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLDIP.jpg
51M5PLDIQABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 24549,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLDIQ.jpg
51M5PLDISABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|DROP|MODERN|_,1,RE,z no,1,Category 24550,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLDIS.jpg
51D3D1HBTABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,3.35,RE,National Sales1,32871.1,Category 7146,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3D1HBT.jpg
50M4I1HHRAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,3.75,RE,National Sales1,29485.26,Category 23724,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M4I1HHR.jpg
51D4MPHFUAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,1.76,RE,National Sales5,19276.93,Category 13570,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4MPHFU.jpg
51D3D1HCQAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,3.99,RE,Unified Region Sales11-National Sales43,36684.39,Category 7147,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3D1HCQ.jpg
51D4MGHCHAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,7.25,RE,Unified Region Sales2-National Sales12,67432.25,Category 13391,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4MGHCH.jpg
514005HUYABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,12.68,RE,Unified Region Sales42-National Sales186,116668.68,Category 2973,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=4005HUY.jpg
502920HBIAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,3.56,RE,Unified Region Sales50-National Sales187,30005.62,Category 2102,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2920HBI.jpg
51D3MEHFIABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,7.95,RE,Unified Region Sales52-National Sales130,75119.97,Category 7857,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3MEHFI.jpg
514005HUXABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,14.06,RE,Unified Region Sales53-National Sales183,128704.57,Category 2972,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=4005HUX.jpg
51D4MGHBYAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,6.88,RE,z no,64009.48,Category 13385,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4MGHBY.jpg
51M5B1HFSAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,1,RE,z no,1,Category 24107,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5B1HFS.jpg
51M5I1HCRAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,1,RE,z no,1,Category 24328,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5I1HCR.jpg
51M5PLHIRAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,1,RE,z no,1,Category 24629,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLHIR.jpg
51M5PLHNXAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,1,RE,z no,1,Category 24631,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLHNX.jpg
51M5PLHNZAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,1,RE,z no,1,Category 24633,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLHNZ.jpg
51M5PLHOAAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,1,RE,z no,1,Category 24634,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLHOA.jpg
51M5PLHOBAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,1,RE,z no,1,Category 24635,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLHOB.jpg
51M5PLHOCAAA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|HOOP|MODERN|_,1,RE,z no,1,Category 24636,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLHOC.jpg
51M5PLSGBAGA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|STUD|MODERN|_,1,RE,z no,1,Category 24676,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLSGB.jpg
51M5PLSGDAGA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|STUD|MODERN|_,1,RE,z no,1,Category 24678,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLSGD.jpg
51M5PLSIEABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|STUD|MODERN|_,1,RE,z no,1,Category 24679,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLSIE.jpg
51M5PLSIGABA00,EVERYDAYS|GOLD PLAIN|EAR RING|A|STUD|MODERN|_,1,RE,z no,1,Category 24680,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLSIG.jpg
51M5PLSKMAGA37,EVERYDAYS|GOLD PLAIN|EAR RING|A|STUD|MODERN|_,1,RE,z no,1,Category 24681,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLSKM.jpg
51O3I2FDVNAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,2.73,RE,Unified Region Sales18-National Sales77,27004.76,Category 26177,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=O3I2FDV.jpg
500896FOAOAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,2.84,RE,Unified Region Sales386-National Sales1518,22020.83,Category 151,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0896FOA.jpg
51M5PLFELMAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,1,RE,z no,1,Category 24558,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLFEL.jpg
51M5PLFENLAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,1,RE,z no,1,Category 24560,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLFEN.jpg
51M5PLFEPLAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,1,RE,z no,1,Category 24562,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLFEP.jpg
51M5PLFFALAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,1,RE,z no,1,Category 24565,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLFFA.jpg
51M5PLFFFLAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,1,RE,z no,1,Category 24568,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLFFF.jpg
51M5PLFIYLAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,1,RE,z no,1,Category 24576,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLFIY.jpg
51M5PLFIZLAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,1,RE,z no,1,Category 24577,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLFIZ.jpg
51M5PLFKYLAA37,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,1,RE,z no,1,Category 24581,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLFKY.jpg
51M5PLFLCLAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,1,RE,z no,1,Category 24584,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLFLC.jpg
51M5PLFNSLAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,1,RE,z no,1,Category 24603,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLFNS.jpg
51M5PLFNTLAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,1,RE,z no,1,Category 24604,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLFNT.jpg
51M5PLFNVLAA00,EVERYDAYS|GOLD PLAIN|FINGER RING|A|MODERN|_|_,1,RE,z no,1,Category 24606,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=M5PLFNV.jpg
51D3BBYGUUAA00,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,26.73,RE,National Sales1,242566.17,Category 6360,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3BBYGU.jpg
51D2A2YHDUAA00,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,27.87,RE,National Sales1,262535.4,Category 4737,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2A2YHD.jpg
51D2J1YYJGAA00,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,5.91,RE,National Sales1,54297.81,Category 5306,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2J1YYJ.jpg
51D3A1YXHGAA00,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,16.59,RE,National Sales1,151558.78,Category 5708,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3A1YXH.jpg
51D3J2TAIHBAP1,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,13.17,RE,National Sales1,92165,Category 7837,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3J2TAI.jpg
51D4B2TLXGBA00,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,15.73,RE,National Sales1,141886.67,Category 9826,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4B2TLX.jpg
51D4PTYWXGAAP5,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,8.77,RE,National Sales1,72594,Category 14548,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4PTYWX.jpg
51D3B4YHDGAA00,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,6.11,RE,National Sales2,55814.85,Category 6273,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3B4YHD.jpg
51D2J1YWTGAA00,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,15.93,RE,National Sales3,146334.82,Category 5284,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2J1YWT.jpg
51D4B2YMLGAA00,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,5.44,RE,National Sales4,48772.8,Category 10286,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4B2YML.jpg
51D3MSYLIGAAP1,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,14.95,RE,National Sales4,110853,Category 7988,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3MSYLI.jpg
51D4B1YCAGAA00,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,13.87,RE,National Sales5,124234.45,Category 9557,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4B1YCA.jpg
51D2A2YGYGAA00,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,16.98,RE,National Sales6,159913.92,Category 4734,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2A2YGY.jpg
51D3B2YGAIAA00,EVERYDAYS|GOLD PLAIN|MANGAL SUTRA|A|ALL|_|_,16.11,RE,National Sales7,149845.91,Category 6027,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3B2YGA.jpg
